Line 603: opens 0, closes 0, net 8
Line 604: opens 0, closes 0, net 8
Line 605: opens 0, closes 0, net 8
Line 606: opens 0, closes 1, net 7
Line 607: opens 0, closes 0, net 7
Line 608: opens 0, closes 1, net 6
Line 609: opens 0, closes 0, net 6
Line 610: opens 0, closes 0, net 6
Line 611: opens 1, closes 0, net 7
Line 612: opens 0, closes 0, net 7
Line 613: opens 0, closes 0, net 7
Line 614: opens 0, closes 0, net 7
Line 615: opens 0, closes 0, net 7
Line 616: opens 1, closes 0, net 8
Line 617: opens 1, closes 0, net 9
Line 618: opens 0, closes 0, net 9
Line 619: opens 0, closes 0, net 9
Line 620: opens 0, closes 1, net 8
Line 621: opens 0, closes 0, net 8
Line 622: opens 1, closes 0, net 9
Line 623: opens 0, closes 0, net 9
Line 624: opens 0, closes 0, net 9
Line 625: opens 0, closes 1, net 8
Line 626: opens 0, closes 0, net 8
Line 627: opens 1, closes 0, net 9
Line 628: opens 0, closes 0, net 9
Line 629: opens 0, closes 0, net 9
Line 630: opens 0, closes 0, net 9
Line 631: opens 0, closes 0, net 9
Line 632: opens 0, closes 1, net 8
Line 633: opens 1, closes 0, net 9
Line 634: opens 0, closes 0, net 9
Line 635: opens 0, closes 0, net 9
Line 636: opens 0, closes 1, net 8
Line 637: opens 1, closes 0, net 9
Line 638: opens 0, closes 0, net 9
Line 639: opens 0, closes 0, net 9
Line 640: opens 0, closes 1, net 8
Line 641: opens 0, closes 1, net 7
Line 642: opens 0, closes 0, net 7
Line 643: opens 0, closes 0, net 7
Line 644: opens 1, closes 0, net 8
Line 645: opens 0, closes 0, net 8
Line 646: opens 0, closes 1, net 7
Line 647: opens 0, closes 0, net 7
Line 648: opens 0, closes 0, net 7
Line 649: opens 0, closes 0, net 7
Line 650: opens 0, closes 0, net 7
Line 651: opens 0, closes 0, net 7
Line 652: opens 0, closes 0, net 7
Line 653: opens 0, closes 0, net 7
Line 654: opens 0, closes 0, net 7
Line 655: opens 0, closes 0, net 7
Line 656: opens 0, closes 0, net 7
Line 657: opens 0, closes 1, net 6
Line 658: opens 0, closes 1, net 5
Line 659: opens 0, closes 1, net 4
Line 660: opens 0, closes 0, net 4
Line 661: opens 0, closes 0, net 4
Line 662: opens 0, closes 0, net 4
Line 663: opens 0, closes 0, net 4
